sep=; 
"codigo_comuna";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"variable";"valor"
"01101";"Iquique";"011";"Iquique";"01";"Tarapaca";"I";"poblacion";"191468"
"01107";"Alto Hospicio";"011";"Iquique";"01";"Tarapaca";"I";"poblacion";"108375"
"01401";"Pozo Almonte";"014";"Tamarugal";"01";"Tarapaca";"I";"poblacion";"15711"
"01402";"Camina";"014";"Tamarugal";"01";"Tarapaca";"I";"poblacion";"1250"
"01403";"Colchane";"014";"Tamarugal";"01";"Tarapaca";"I";"poblacion";"1728"
"01404";"Huara";"014";"Tamarugal";"01";"Tarapaca";"I";"poblacion";"2730"
"01405";"Pica";"014";"Tamarugal";"01";"Tarapaca";"I";"poblacion";"9296"
"02101";"Antofagasta";"021";"Antofagasta";"02";"Antofagasta";"II";"poblacion";"361873"
"02102";"Mejillones";"021";"Antofagasta";"02";"Antofagasta";"II";"poblacion";"13467"
"02103";"Sierra Gorda";"021";"Antofagasta";"02";"Antofagasta";"II";"poblacion";"10186"
"02104";"Taltal";"021";"Antofagasta";"02";"Antofagasta";"II";"poblacion";"13317"
"02201";"Calama";"022";"El Loa";"02";"Antofagasta";"II";"poblacion";"165731"
"02202";"Ollague";"022";"El Loa";"02";"Antofagasta";"II";"poblacion";"321"
"02203";"San Pedro de Atacama";"022";"El Loa";"02";"Antofagasta";"II";"poblacion";"10996"
"02301";"Tocopilla";"023";"Tocopilla";"02";"Antofagasta";"II";"poblacion";"25186"
"02302";"Maria Elena";"023";"Tocopilla";"02";"Antofagasta";"II";"poblacion";"6457"
"03101";"Copiapo";"031";"Copiapo";"03";"Atacama";"III";"poblacion";"153937"
"03102";"Caldera";"031";"Copiapo";"03";"Atacama";"III";"poblacion";"17662"
"03103";"Tierra Amarilla";"031";"Copiapo";"03";"Atacama";"III";"poblacion";"14019"
"03201";"Chanaral";"032";"Chanaral";"03";"Atacama";"III";"poblacion";"12219"
"03202";"Diego de Almagro";"032";"Chanaral";"03";"Atacama";"III";"poblacion";"13925"
"03301";"Vallenar";"033";"Huasco";"03";"Atacama";"III";"poblacion";"51917"
"03302";"Alto del Carmen";"033";"Huasco";"03";"Atacama";"III";"poblacion";"5299"
"03303";"Freirina";"033";"Huasco";"03";"Atacama";"III";"poblacion";"7041"
"03304";"Huasco";"033";"Huasco";"03";"Atacama";"III";"poblacion";"10149"
"04101";"La Serena";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"221054"
"04102";"Coquimbo";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"227730"
"04103";"Andacollo";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"11044"
"04104";"La Higuera";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"4241"
"04105";"Paiguano";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"4497"
"04106";"Vicuna";"041";"Elqui";"04";"Coquimbo";"IV";"poblacion";"27771"
"04201";"Illapel";"042";"Choapa";"04";"Coquimbo";"IV";"poblacion";"30848"
"04202";"Canela";"042";"Choapa";"04";"Coquimbo";"IV";"poblacion";"9093"
"04203";"Los Vilos";"042";"Choapa";"04";"Coquimbo";"IV";"poblacion";"21382"
"04204";"Salamanca";"042";"Choapa";"04";"Coquimbo";"IV";"poblacion";"29347"
"04301";"Ovalle";"043";"Limari";"04";"Coquimbo";"IV";"poblacion";"111272"
"04302";"Combarbala";"043";"Limari";"04";"Coquimbo";"IV";"poblacion";"13322"
"04303";"Monte Patria";"043";"Limari";"04";"Coquimbo";"IV";"poblacion";"30751"
"04304";"Punitaqui";"043";"Limari";"04";"Coquimbo";"IV";"poblacion";"10956"
"04305";"Rio Hurtado";"043";"Limari";"04";"Coquimbo";"IV";"poblacion";"4278"
"05101";"Valparaiso";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"296655"
"05102";"Casablanca";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"26867"
"05103";"Concon";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"42152"
"05104";"Juan Fernandez";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"926"
"05105";"Puchuncavi";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"18546"
"05107";"Quintero";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"31923"
"05109";"Vina del Mar";"051";"Valparaiso";"05";"Valparaiso";"V";"poblacion";"334248"
"05201";"Isla de Pascua";"052";"Isla de Pascua";"05";"Valparaiso";"V";"poblacion";"7750"
"05301";"Los Andes";"053";"Los Andes";"05";"Valparaiso";"V";"poblacion";"66708"
"05302";"Calle Larga";"053";"Los Andes";"05";"Valparaiso";"V";"poblacion";"14832"
"05303";"Rinconada";"053";"Los Andes";"05";"Valparaiso";"V";"poblacion";"10207"
"05304";"San Esteban";"053";"Los Andes";"05";"Valparaiso";"V";"poblacion";"18855"
"05401";"La Ligua";"054";"Petorca";"05";"Valparaiso";"V";"poblacion";"35390"
"05402";"Cabildo";"054";"Petorca";"05";"Valparaiso";"V";"poblacion";"19388"
"05403";"Papudo";"054";"Petorca";"05";"Valparaiso";"V";"poblacion";"6356"
"05404";"Petorca";"054";"Petorca";"05";"Valparaiso";"V";"poblacion";"9826"
"05405";"Zapallar";"054";"Petorca";"05";"Valparaiso";"V";"poblacion";"7339"
"05501";"Quillota";"055";"Quillota";"05";"Valparaiso";"V";"poblacion";"90517"
"05502";"Calera";"055";"Quillota";"05";"Valparaiso";"V";"poblacion";"50554"
"05503";"Hijuelas";"055";"Quillota";"05";"Valparaiso";"V";"poblacion";"17988"
"05504";"La Cruz";"055";"Quillota";"05";"Valparaiso";"V";"poblacion";"22098"
"05506";"Nogales";"055";"Quillota";"05";"Valparaiso";"V";"poblacion";"22120"
"05601";"San Antonio";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"91350"
"05602";"Algarrobo";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"13817"
"05603";"Cartagena";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"22738"
"05604";"El Quisco";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"15955"
"05605";"El Tabo";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"13286"
"05606";"Santo Domingo";"056";"San Antonio";"05";"Valparaiso";"V";"poblacion";"10900"
"05701";"San Felipe";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"76844"
"05702";"Catemu";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"13998"
"05703";"Llaillay";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"24608"
"05704";"Panquehue";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"7273"
"05705";"Putaendo";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"16754"
"05706";"Santa Maria";"057";"San Felipe de Aconcagua";"05";"Valparaiso";"V";"poblacion";"15241"
"05801";"Quilpue";"058";"Marga Marga";"05";"Valparaiso";"V";"poblacion";"151708"
"05802";"Limache";"058";"Marga Marga";"05";"Valparaiso";"V";"poblacion";"46121"
"05803";"Olmue";"058";"Marga Marga";"05";"Valparaiso";"V";"poblacion";"17516"
"05804";"Villa Alemana";"058";"Marga Marga";"05";"Valparaiso";"V";"poblacion";"126548"
"06101";"Rancagua";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"241774"
"06102";"Codegua";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"12988"
"06103";"Coinco";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"7359"
"06104";"Coltauco";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"19597"
"06105";"Donihue";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"20887"
"06106";"Graneros";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"33437"
"06107";"Las Cabras";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"24640"
"06108";"Machali";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";"52505"
